INFO: Step: 1100        Loss (uniform, nss, element centers, inside box): (0.014264522, [0.00062961597, 0.013624896, 1.001e-05, 0.0])   Steps/second: 1.9552046324828996
INFO: Step: 1110        Loss (uniform, nss, element centers, inside box): (0.013044439, [0.0007349049, 0.012299525, 1.001e-05, 0.0])    Steps/second: 1.8868121613999078
INFO: Step: 1120        Loss (uniform, nss, element centers, inside box): (0.01402232, [0.0010316028, 0.012980707, 1.001e-05, 0.0])     Steps/second: 1.8417192595139047
INFO: Step: 1130        Loss (uniform, nss, element centers, inside box): (0.012210038, [0.00041265262, 0.011787375, 1.001e-05, 0.0])   Steps/second: 1.7650147090731003
INFO: Step: 1140        Loss (uniform, nss, element centers, inside box): (0.012726501, [0.00023785332, 0.0124786375, 1.001e-05, 0.0])  Steps/second: 1.8285283811154698
INFO: Step: 1150        Loss (uniform, nss, element centers, inside box): (0.014332919, [0.0019514783, 0.012371431, 1.001e-05, 0.0])    Steps/second: 1.7767675045406166
INFO: Step: 1160        Loss (uniform, nss, element centers, inside box): (0.014823939, [0.0009343526, 0.013879577, 1.001e-05, 0.0])    Steps/second: 1.746331979795146
INFO: Step: 1170        Loss (uniform, nss, element centers, inside box): (0.013333293, [0.0012225845, 0.012100698, 1.001e-05, 0.0])    Steps/second: 1.687899091393393
INFO: Step: 1180        Loss (uniform, nss, element centers, inside box): (0.012419684, [0.0012505229, 0.011159151, 1.001e-05, 0.0])    Steps/second: 1.5527956496144375
INFO: Step: 1190        Loss (uniform, nss, element centers, inside box): (0.0118526, [0.00075105194, 0.011091538, 1.001e-05, 0.0])     Steps/second: 1.587740353084984
INFO: Step: 1200        Loss (uniform, nss, element centers, inside box): (0.013241923, [0.0011348956, 0.012097018, 1.001e-05, 0.0])    Steps/second: 1.5955098288682965
INFO: Step: 1210        Loss (uniform, nss, element centers, inside box): (0.012178276, [0.0011347344, 0.011033531, 1.001e-05, 0.0])    Steps/second: 1.6403558039141748
INFO: Step: 1220        Loss (uniform, nss, element centers, inside box): (0.013000327, [0.00040666427, 0.012522414, 7.1249175e-05, 0.0])       Steps/second: 1.5738550959002657
INFO: Step: 1230        Loss (uniform, nss, element centers, inside box): (0.013983488, [0.0003201157, 0.013653362, 1.001e-05, 0.0])    Steps/second: 1.592982754913743
INFO: Step: 1240        Loss (uniform, nss, element centers, inside box): (0.011749497, [0.00023636973, 0.011503117, 1.001e-05, 0.0])   Steps/second: 1.7157718607710735
INFO: Step: 1250        Loss (uniform, nss, element centers, inside box): (0.012806008, [0.0006794224, 0.012116576, 1.001e-05, 0.0])    Steps/second: 1.652935501566904
INFO: Writing checkpoint to /mnt/c/users/jryan/documents/github/ldif/ldif/trained_models//sif-transcoder-ldif_7/1-hparams/train/model.ckpt...
INFO: Step: 1260        Loss (uniform, nss, element centers, inside box): (0.015001624, [0.00080915535, 0.014182459, 1.001e-05, 0.0])   Steps/second: 0.9589707336211714
INFO: Step: 1270        Loss (uniform, nss, element centers, inside box): (0.012844265, [0.0014670508, 0.011367205, 1.001e-05, 0.0])    Steps/second: 1.481895614839646
INFO: Step: 1280        Loss (uniform, nss, element centers, inside box): (0.012421279, [0.0011120219, 0.011299248, 1.001e-05, 0.0])    Steps/second: 1.5483232125592175
INFO: Step: 1290        Loss (uniform, nss, element centers, inside box): (0.012402002, [0.0015450213, 0.010846971, 1.001e-05, 0.0])    Steps/second: 1.6592348696679236
INFO: Step: 1300        Loss (uniform, nss, element centers, inside box): (0.012547489, [0.0016861451, 0.010851334, 1.001e-05, 0.0])    Steps/second: 1.693455905245049
INFO: Step: 1310        Loss (uniform, nss, element centers, inside box): (0.012135269, [7.448079e-05, 0.012050779, 1.001e-05, 0.0])    Steps/second: 1.614429567801108
INFO: Step: 1320        Loss (uniform, nss, element centers, inside box): (0.013499535, [0.0007362444, 0.012753281, 1.001e-05, 0.0])    Steps/second: 1.66812773034701
INFO: Step: 1330        Loss (uniform, nss, element centers, inside box): (0.012552345, [0.000711063, 0.011831272, 1.001e-05, 0.0])     Steps/second: 1.68007646237272
INFO: Step: 1340        Loss (uniform, nss, element centers, inside box): (0.011730492, [0.0010842171, 0.010636265, 1.001e-05, 0.0])    Steps/second: 1.5739192341505361
INFO: Step: 1350        Loss (uniform, nss, element centers, inside box): (0.012034563, [0.0007513043, 0.011273249, 1.001e-05, 0.0])    Steps/second: 1.6125175810883006
INFO: Step: 1360        Loss (uniform, nss, element centers, inside box): (0.012478409, [0.001258906, 0.0112094935, 1.001e-05, 0.0])    Steps/second: 1.7347761676401914
INFO: Step: 1370        Loss (uniform, nss, element centers, inside box): (0.011982608, [0.0003737914, 0.0115372045, 7.161203e-05, 0.0])        Steps/second: 1.7460913430994405
INFO: Step: 1380        Loss (uniform, nss, element centers, inside box): (0.011220668, [0.00073117146, 0.0104794875, 1.001e-05, 0.0])  Steps/second: 1.7728117474206169
INFO: Step: 1390        Loss (uniform, nss, element centers, inside box): (0.014012796, [0.00178207, 0.012220716, 1.001e-05, 0.0])      Steps/second: 1.757261585501506
INFO: Step: 1400        Loss (uniform, nss, element centers, inside box): (0.012962896, [4.6975616e-05, 0.012905911, 1.001e-05, 0.0])   Steps/second: 1.8285572386305247
INFO: Step: 1410        Loss (uniform, nss, element centers, inside box): (0.011126667, [0.0014140105, 0.009632111, 8.054613e-05, 0.0]) Steps/second: 1.8345929462783164
INFO: Step: 1420        Loss (uniform, nss, element centers, inside box): (0.011056052, [0.0007396831, 0.010306358, 1.001e-05, 0.0])    Steps/second: 1.9999866486487001
INFO: Step: 1430        Loss (uniform, nss, element centers, inside box): (0.010990283, [0.00042862925, 0.0105516445, 1.001e-05, 0.0])  Steps/second: 2.0158895760926097
INFO: Step: 1440        Loss (uniform, nss, element centers, inside box): (0.012133645, [0.00053755863, 0.011586077, 1.001e-05, 0.0])   Steps/second: 1.9608846361565033
INFO: Step: 1450        Loss (uniform, nss, element centers, inside box): (0.010932572, [0.000291406, 0.010631156, 1.001e-05, 0.0])     Steps/second: 1.9889510726943544
INFO: Step: 1460        Loss (uniform, nss, element centers, inside box): (0.01107797, [0.00038054766, 0.010687413, 1.001e-05, 0.0])    Steps/second: 2.0198957348952344
INFO: Step: 1470        Loss (uniform, nss, element centers, inside box): (0.012758432, [0.00032714807, 0.012421274, 1.001e-05, 0.0])   Steps/second: 1.9794363083479625
INFO: Step: 1480        Loss (uniform, nss, element centers, inside box): (0.010390044, [0.00010941907, 0.010270615, 1.001e-05, 0.0])   Steps/second: 2.000815533217332
INFO: Step: 1490        Loss (uniform, nss, element centers, inside box): (0.011415133, [2.9940884e-05, 0.011375182, 1.001e-05, 0.0])   Steps/second: 2.0125737878240724
INFO: Step: 1500        Loss (uniform, nss, element centers, inside box): (0.014776446, [0.0008340974, 0.013871426, 7.09232e-05, 0.0])  Steps/second: 1.9993530459513746
INFO: Writing checkpoint to /mnt/c/users/jryan/documents/github/ldif/ldif/trained_models//sif-transcoder-ldif_7/1-hparams/train/model.ckpt...
